Student,Math,Physics,Computer_Science,Study_Hours
Student_01,15,14,17,8
Student_02,11,13,12,5
Student_03,17,16,18,10
Student_04,12,11,14,6
Student_05,14,15,16,7
Student_06,9,10,11,4
Student_07,16,17,15,9
Student_08,13,12,14,6
Student_09,18,17,19,11
Student_10,10,11,9,3
Student_11,15,16,14,8
Student_12,12,14,13,5
Student_13,17,18,17,10
Student_14,11,10,12,4
Student_15,14,13,15,7
Student_16,16,15,18,9
Student_17,8,11,10,3
Student_18,13,15,14,7
Student_19,18,16,19,11
Student_20,10,12,11,4
Student_21,15,14,16,8
Student_22,12,13,15,6
Student_23,17,16,18,10
Student_24,9,10,12,4
Student_25,14,15,14,7
Student_26,16,17,17,9
Student_27,11,12,10,5
Student_28,13,14,16,7
Student_29,18,18,19,12
Student_30,10,11,13,4
